NitricOxide,NitrogenDioxide,OxidesofNitrogen,WindSpeed,ResultantWindSpeed,ResultantWindDirection,MaximumWindGust,Std.Dev.WindDirection,OutdoorTemperature,DewPointTemperature,RelativeHumidity,SolarRadiation,PM10,Ozone
0.7,3.2,3.8,6,4.5,332,13.5,41,86.6,51.6,30,1.362,12,0
0.2,5.3,5.4,9.4,8.7,138,19.3,22,67.4,61.9,82.6,0,13.1,0
0.2,1.7,1.9,8,6.7,265,19.8,33,94.2,6.3,3.7,1.307,17.9,0
-0.5,2,1.8,6.3,5.6,284,16.1,28,97.4,28.3,8.8,1.024,11.4,1
-0.1,3.2,3.1,4.4,2.2,134,11.8,57,89.6,41.3,18.7,1.465,16.8,1
0.1,4.3,4.5,5.4,1.3,345,15.1,70,67.5,59.2,74.8,0,11.6,0
0.2,4.5,4.7,5,4.8,125,16.9,15,95.2,49.1,21,0.05,26.3,1
0.3,2,2.4,3.5,2.1,116,8.9,52,99.9,39.8,12.8,0.214,32.7,1
0.3,3.4,3.8,13.6,12.6,41,32.4,22,87.8,38.6,17.8,0,123.9,0
0.4,7.7,8.2,8.1,7.9,102,15.4,14,74.1,60.4,62.5,0.019,20.7,0
0.3,2.4,2.7,7.4,6.6,266,17,27,95.1,3.4,3.2,0.723,14.5,0
0.2,4.4,4.6,4.1,1.4,301,13.1,66,97.7,34.7,11.2,0.613,23.5,1
-0.2,2.6,2.4,5.3,4,82,11.9,40,91,39.8,16.9,1.369,17.8,1
0,2.1,2.1,5.2,3.7,92,13.3,43,94.7,47.3,20,1.524,32.8,1
0.8,3,3.8,4.7,4.4,283,8.7,22,75.5,23.9,14.6,0.656,38.3,0
0,3.5,3.5,6.2,4.9,112,14,38,87.9,47.3,24.7,1.364,28.9,1
0.2,5.9,6.1,4.3,2.1,288,11.3,58,88.1,32.7,13.9,0.979,32.8,1
0.1,0.8,1,5.7,2.9,177,12.2,56,101.7,33.8,9.5,1.281,18.3,1
0.6,2.1,2.7,8.7,7.6,263,19.4,29,76.5,57.2,51.7,1.041,10.1,0
1.4,6,7.4,7.9,7.5,301,15.3,19,80.4,56.2,44,1.241,14.3,0
0.3,2.3,2.6,3,2.6,70,6.3,30,95.2,31.3,10.5,0.069,19.3,1
0.1,1,1.2,6.1,4.7,282,14,38,85.3,53.3,33.5,1.552,14.9,0
0.4,7.3,7.6,3.9,2.2,213,8.9,53,89.7,44.4,20.9,1.344,45.3,1
0.1,6.7,6.8,6.2,5.9,270,13,20,84.2,50.8,31.5,0,24.4,0
0.9,5.4,6.3,7.2,6.9,286,13.9,17,55.3,31.3,39.9,0.379,15.4,0
0,-0.5,-0.4,6.8,4.2,157,17.5,50,97.6,36.7,12.6,1.444,14,1
1.5,3.1,4.6,6.2,5.5,194,14.5,28,89.1,28.2,11.4,0.958,36,0
1.9,9.7,11.5,13,12.6,103,21.5,15,57.2,33.5,40.6,0.481,34.6,0
0.1,2.6,2.7,4.5,2.9,180,13.9,49,98.3,38.2,12.7,1.523,21.2,1
0.5,2.6,3.1,19,18.3,294,36.1,15,73.2,4.5,6.7,0.94,64.7,1
-0.2,0.7,0.6,6.8,6.5,58,16.2,18,74.6,56.2,52.7,0,17,0
0,2.3,2.2,15.7,15.1,110,30.2,15,84.2,52,33,0,61.2,0
-0.1,1,0.9,5.4,4.3,168,12.7,37,83.1,15.9,8.1,0.28,18.4,1
0.7,2.8,3.5,19.3,18.5,297,42.2,16,73.4,5.8,7.1,1.207,70,1
0.1,0,0.1,5.6,3.3,145,13.4,52,77.2,12.7,8.6,1.411,18.3,1
0.7,6,6.6,6.4,5.4,96,13.4,32,72.2,30.3,21.2,1.45,28.8,0
0.4,4.7,5.1,5.5,3.6,167,12.2,48,84.9,28.6,13,1.169,29.1,1
0.1,2.7,2.6,13.8,13.4,299,24.2,13,70.4,31.5,23.6,0,29.3,0
0.5,5.4,5.9,3.7,1.4,309,20.2,64,93.3,35.8,13.3,0.44,21.4,1
-0.2,2,1.7,6.1,4,54,18.2,47,91.7,42.7,18.5,1.254,10.2,1
0.4,5.4,5.8,4.4,2.8,283,13.1,49,94.1,34.5,12.7,1.001,21.5,1
0.1,3.8,4.1,4,3.1,68,16.4,38,89.6,49.6,25.5,1.349,28.2,1
1,7.9,9,7.9,7.6,98,14.1,15,78.4,46.4,32.4,0.018,19.5,0
0,4.8,4.8,8.8,8.7,297,14.9,10,76.2,57.1,51.8,0.006,26.3,0
0.2,17.2,17.4,4.3,4,132,8.3,21,87.7,34.7,15.2,0,30.6,0
1,6.5,7.6,8.1,7.6,108,22.8,19,82.7,61.9,49.4,0.141,60.4,0
0.5,4.6,5.1,4.7,1.9,180,20.2,62,84.1,19.9,9.4,1.209,23.8,1
-0.1,0.5,0.5,5.8,5.2,78,12.3,27,77.4,56.3,48.2,0,14.7,0
0.2,11.8,11.9,4.8,4.6,273,13.2,17,92.9,3.5,3.5,0.06,38.2,0
0.1,5.4,5.5,4.5,2.8,189,17.2,50,87.4,45.4,23.3,1.22,25.6,1
2.2,9,11.2,12.6,12.1,102,21.9,16,59.6,34.4,38.8,0.828,34.6,0
0.1,6.1,6.4,8.4,7.6,105,16.8,26,93.3,51.4,24.3,1.286,72.5,1
0.4,4.1,4.5,4.6,3.2,136,12.6,45,90.3,41.7,18.6,0.801,19.4,1
0.9,16,16.8,8.7,8.5,88,13.3,12,62,44.7,53.1,0.014,39.1,0
-0.2,4.2,4.2,4.5,2.4,349,13.2,56,85.7,36.5,17.6,0.843,11.3,1
0.2,4.2,-0.4,4.4,0.7,60,11.2,75,92.8,41.9,17.5,1.287,14.2,1
0.3,7.9,8.1,6.7,6.5,88,13.4,13,77.7,60.5,55.6,0,32.8,0
0.4,1.1,1.4,5.1,2.8,215,12.2,55,88.2,51.9,28.9,1.371,22.7,1
0.2,4.8,5,4.7,2.6,123,13.5,54,91.8,49.5,23.9,1.489,48.2,1
3.7,13.4,17.1,9.3,9.2,98,15.7,11,81.4,47.8,31,0.298,95.7,0
0.9,4.4,5.3,6.6,5.9,305,14.6,26,83.9,53.7,35.5,1.344,12.5,0
0.1,1.6,1.7,8.1,7.8,303,15,13,79.5,57.4,47,0,19.7,0
5.5,30.6,36.2,4.1,4,82,6.3,9,79.1,45,30,0,79.4,0
-0.3,3.1,3.1,4.8,2.9,204,10.3,51,96.4,33.1,10.9,1.186,11.1,1
0.4,1.1,1.5,4.2,2.6,238,10.8,51,102.2,19,5.1,1.064,16.1,1
1.8,32.7,34.6,3.4,3.3,115,6.4,15,82.6,43.2,25,0,81.9,0
0.1,4.2,4.3,9.7,9.5,293,17.5,13,73.5,28,18.6,0,38.7,0
-0.3,0,-0.4,3.5,2.1,215,8.1,52,87.9,46.1,23.6,0.458,20.2,1
0.1,2.7,2.8,4.8,3.6,289,15.7,41,100,40.4,13,0.706,14.2,1
3.3,12,15.3,5.7,5,320,12.3,27,90.1,38.2,16.5,1.346,30.3,0
0,-1.2,-1.1,6.7,5.7,289,14.8,31,85.7,52.4,32,1.172,9.4,0
0.5,3.1,3.7,13.2,12.7,98,22.9,17,84,50.1,31.2,0.875,44.6,0
5.3,21.3,26.4,7.6,7.4,94,14.1,13,62.7,44.7,51.8,0.181,49.9,0
7.1,25.5,32.4,3.9,2.9,297,8.7,41,77.3,13.9,8.9,0,31,0
0.8,2.1,2.8,6.2,5.2,216,14.8,32,93.6,22.7,7.8,1.208,28.6,0
0.1,3.1,3.2,9.8,9,264,22.6,23,101.9,-5.3,1.7,0.703,35.8,0
7.3,50.4,57.8,2.3,1.9,155,5.4,33,88,32.8,14,0,149.4,0
0.5,1,1.5,8.9,8,68,19.7,25,85.1,52.7,33,0.767,13.6,0
1.1,11.7,12.8,3.5,1.3,169,9.8,64,93.2,44.3,19,1.383,52.7,1
0.1,-1.1,-0.9,6.2,5,287,16.9,37,83.9,55.8,38.4,1.31,8.5,0
1.7,14,15.8,11.7,11.3,302,18.6,14,70.6,58.8,66.3,0.008,13.1,0
0,1.5,1.5,4.4,3.3,186,13.2,39,91.5,47.9,22.4,0.467,21,1
0.1,4.1,4.3,13.6,13.1,128,26.2,15,87.3,55.9,34.6,0.048,132.7,1
0.6,2.3,2.9,11.7,10.3,256,23.9,28,63.5,27.1,25.2,1.192,31.4,0
0.8,10.3,10.9,8.8,6.5,84,24.9,41,87.8,38.7,17.7,0,45.8,0
0.8,8.3,9,4.3,2.7,151,10.5,49,93.8,36.5,13.5,0.5,33.5,1
0.1,8,8.1,4.1,0.8,182,11.2,72,90.4,50.8,26.2,1.293,27.3,1
1.6,21.9,23.6,4,3.8,101,8.3,20,90.9,44.3,20.1,0,35.9,0
-0.2,2.1,2.1,4.4,2.1,309,11.2,59,91.5,35,13.7,0.866,12.4,1
0.5,8.2,8.7,6.2,6,86,11.4,12,82.4,45.9,27.8,0,17.6,0
0.1,2,2.2,4.9,3.5,96,10.9,43,88.6,51.1,27.9,1.29,11.7,0
0.5,13.5,13.9,3.1,1.9,239,5.9,50,70.2,59.2,68,0,18.9,0
0.1,4.3,4.3,6.8,6.6,291,15.1,14,81.1,55.2,41,0,22.1,0
0.4,2.1,2.5,10,8.7,254,24.9,30,90.3,16.3,6.5,0.829,43.1,0
1.2,12.9,14,7.3,7,300,13.2,17,90.7,10,4.9,0,24.6,0
0.6,3.9,4.6,12.7,12,272,29.2,19,69.8,18.7,14.2,0.841,30,0
-0.2,1.5,1.2,6,4,278,13.2,46,94.3,44.7,18.4,0.99,12.1,1
0.1,0,0.1,7,5.2,276,18.8,41,97.8,43.7,15.9,1.098,18.7,1
0.3,1.1,1.4,10.6,8.7,237,23,35,90.6,17.1,6.7,1.026,32.7,0
0.1,3.7,3.9,12.9,12.4,76,24.3,17,82.9,48.3,30,0.553,36.1,0
0,-0.2,-0.2,3.1,2.5,194,7.4,37,97.3,36.6,12.2,0.162,24.3,1
0.3,5.2,5.5,4.6,2.1,172,9.4,60,88.9,43.9,21.2,1.074,22.6,1
2.5,8.8,11.3,4,3,80,8.6,40,81.2,58.3,45.8,1.027,28,0
4.3,17.7,21.9,8.2,7.9,288,14.6,17,87.9,7.1,4.8,1.155,47.9,0
0,3.5,3.6,4.2,1.7,117,10,62,94.9,45.6,18.7,1.459,35.1,1
-0.1,4.3,4.4,9,8.2,98,18.3,24,87.6,44.4,22.2,1.273,29.5,1
1.4,22,23.6,4.1,3.9,123,8.9,17,72.7,39.9,30.6,0,39.2,0
0,4.4,4.4,15.8,15.3,99,29.4,14,60.4,37.7,42.8,0,111.6,0
-0.3,2.9,2.8,5.1,2,49,11.3,63,91.3,37.4,15.2,1.418,14,1
5.6,16.8,22.3,8.9,8.7,293,15.2,12,82.2,7.9,5.8,0.917,47.6,0
1.6,8.7,10.3,10.4,10.1,86,17.2,14,69.6,48.6,47.4,0.098,59,0
-0.3,1.4,1.2,10.8,10,263,24.1,22,86.3,19.6,8.5,0.07,53.6,0
0.9,1.9,2.7,13.3,12.1,126,26.5,24,96.6,36.6,12.4,1.359,48.5,0
0.1,0.7,0.8,11,9.1,223,26.6,34,89.3,19.4,7.8,1.242,28.1,0
0.7,3.5,4.2,8.9,7.2,253,24,35,92.6,48.5,22.4,1.241,19.6,0
0.3,4.1,2.3,7.8,6.4,153,15.3,33,87.9,51.1,28.5,1.364,23.3,1
0.1,3.8,3.9,8.1,7.8,291,16.8,16,69.9,53.6,55.9,0,18.6,0
0.9,6.9,7.9,5.5,4.1,317,17.8,40,96.8,34.7,11.7,1.516,22.9,1
0.5,8.6,9.1,7.2,7.1,79,12.4,12,81.2,45.8,28.7,0.001,56.6,0
0.6,4.3,5,12.1,11.3,84,21.8,20,89.1,46.8,23.4,1.106,46.1,0
0.1,1.1,1.1,4,1.3,217,9,66,86.2,55.7,36,1.208,18.6,1
0.2,4,4.3,5.7,5.5,281,10.5,16,71.5,60.7,68.8,0,15.5,0
0,5,5.1,6.4,5.3,126,15.4,33,85.6,50.3,29.7,1.408,17.1,1
0.6,3,3.6,9,7.6,261,35.9,31,77.7,57.1,49.7,0.724,18,0
0.2,5.9,6,4.1,1.5,201,11.1,65,82,51.8,35.2,1.113,46.2,1
0.4,2.1,2.5,6.6,5.4,124,17.2,35,93,50.4,23.5,1.145,20.5,1
1.4,3.5,4.9,5.9,5.6,291,12.8,17,74.2,58,57.2,0.513,16.2,0
-0.3,5.5,5.3,5.1,3.7,196,12.2,43,91.4,45.3,20.6,1.286,24.8,1
0.7,10.5,11.2,4,1.7,280,10.3,62,80.4,47,31,0,21,0
0,1.7,1.8,5.6,5.4,276,12.8,16,86.5,53,31.9,0.012,14.8,0
0.2,3.8,3.9,6.1,5.9,89,10.5,13,83.9,42.1,23,0,46.2,0
-0.4,0.1,-0.3,4,2.4,221,12.3,51,94.2,38,14.2,1.21,8.8,1
0.4,3.2,3.6,4.6,2.3,81,12.1,57,94.5,39.5,14.9,1.272,51.9,1
-0.3,3,2.7,5.5,3.4,143,15.1,50,98.4,33.4,10.3,1.29,23.7,1
-0.2,2,1.8,6.8,6.2,123,17.4,22,95.7,39.5,14.3,0.293,15.3,1
0.6,2,2.6,5.6,4.3,152,13.8,38,101.9,23.2,6.2,1.315,21.1,1
0.1,5,5,7.6,7.4,80,13.2,12,78.3,56.4,47,0,29.6,0
0.3,3.1,3.3,11,9.9,263,31.1,25,85.7,48.5,28,0.11,47.7,0
0.9,6.1,6.9,4.3,2.4,168,11.4,53,75.3,5.7,6.7,1.309,32.1,1
0,3.3,3.3,15.5,14.8,99,27.3,17,88.1,48.5,25.6,1.235,56.5,0
1.8,6.7,8.5,12.8,11.9,286,26.6,22,68,20.1,17.6,0.884,22.2,0
0.1,6.4,6.5,8.7,8.5,300,16.2,12,73,51.2,46.8,0,8.8,0
0.4,14.9,15.3,5.1,5,92,8.9,12,76.1,62.8,63.6,0,21.7,0
0.5,8.3,8.8,9.7,9.3,131,21,16,91.3,38.9,16.1,0,57,0
0.2,2.3,2.6,5.6,4.7,108,14,33,91.8,40.2,16.7,0.912,25,1
0.4,3.9,4.2,4.6,1.6,117,11.3,65,88.8,44.6,21.6,1.062,29.1,1
0.1,1.7,1.9,4.8,2.8,124,14.5,52,91.4,48.9,23.5,0.759,31.2,1
0.3,2.4,2.8,6.7,5.9,269,16.4,29,87.8,50.6,27.9,1.299,10.4,0
0.7,2.2,3,10.4,9.9,119,19.3,17,82.3,57.4,42.7,0.207,14.8,0
0.6,12.6,13.1,5.1,4.7,105,11.3,25,79.8,60.5,51.7,0,36,0
3.3,14.3,17.7,7.3,7.1,99,11.9,14,74,57.2,55.9,0.154,40,0
-0.1,1.6,1.5,5.3,3.2,139,18.3,50,97.9,42.6,15.2,0.744,25.2,1
0.4,5.2,5.6,5,3.4,140,16.7,45,97.7,37.9,12.6,0.704,50.5,1
0.1,1.2,1.3,6,3.5,242,15,53,89.4,51.7,27.6,0.953,10.7,0
0.2,3.6,3.7,5.1,2.8,288,12.2,54,100.4,5,2.8,1.112,25.9,1
0.2,5.3,5.4,9.4,8.7,138,19.3,22,67.4,61.9,82.6,0,13.1,0
2.3,23.7,26.1,4.3,4.2,88,8.8,12,89.1,46,22.6,0,42,0
0.1,6.8,6.9,5,2.8,137,12.5,54,92.1,47.9,22.2,0.903,20.1,1
-0.1,0.7,0.5,9.5,9.2,97,16.5,13,77.4,59.7,54.5,0,13.2,0
0.8,1.3,2.1,6.2,5.5,176,13.5,28,96.5,23.2,7.3,1.101,22.9,0
0,7,7,10.2,9.7,267,20.4,17,85.7,-0.1,3.6,0.061,77,1
14.7,25.2,40.2,3.6,1,321,7.8,69,68.9,58.9,70.6,0.254,35.3,0
0.4,2.3,2.6,5.9,4.6,144,15.3,37,91.7,49.3,23.6,1.273,19,1
0.4,13.9,14.3,5.2,4.9,284,10.6,19,81.4,36.8,20.3,0,23.5,0
0.3,2.3,2.5,4.7,3.1,192,11.8,48,81,34.2,18.5,1.009,20.6,1
1.2,8.6,9.9,4.9,4.5,126,12.3,24,86.7,41.8,20.7,0.125,35.1,0
0,3.2,3.3,4,1.6,237,9.3,63,92.1,45.5,20.1,1.11,17.2,1
0.2,8.8,9.1,7.3,7,104,13.5,15,96.5,30.8,9.9,0,41.5,0
0,5.9,5.9,5.2,4.1,205,12.7,37,93.8,48.4,21.3,0.696,31.6,1
2.3,9.4,11.8,11.3,11,90,18.9,14,70.3,46.2,42.2,0.351,57.1,0
0,0.5,0.6,7.4,7.2,296,13.1,14,72.1,60.8,67.5,0,11.2,0
0.8,0.9,1.9,8.8,7.9,125,18.2,27,95.3,39.3,14.4,1.374,17.6,0
0.9,5.2,6.1,8.6,7.8,99,16.2,23,69.7,31.6,24.4,1.432,29.4,0
2.2,20.4,22.5,7.9,7.7,309,14.9,13,93.2,8.3,4.3,0,31.2,0
0.1,6,6.2,6.2,6.1,112,10.2,13,66.8,59.6,77.9,0,11.3,0
1.2,5.9,7.1,7.9,7.5,295,13.8,19,83.6,17.3,8.3,1.268,29.6,0
0.1,3.2,3.4,6,4.9,116,13.5,36,91.9,41.8,17.7,0.218,27.1,1
0,3.8,3.8,5.5,2.4,148,13.1,61,97.4,39.8,13.8,0.961,33.5,1
-0.1,1.9,1.6,12.3,11.7,109,28.4,17,78.7,57.9,49,0,34.7,0
0.2,0.7,0.8,6.2,5.2,277,15.2,33,98.3,40.6,13.8,0.634,19,1
-0.5,5.1,4.9,5.2,1.8,23,20.1,65,93.9,40.7,15.8,0.137,41.2,1
0,2.9,2.9,10.3,9.6,266,22.2,21,100.9,-3.2,1.9,0.27,31.7,0
0.2,5.1,5.2,7.1,6.4,86,15.5,27,86.5,31,13.5,1.113,31.9,1
0,2.9,3,5.2,4.1,112,11,37,98.2,40.5,13.8,0.364,36.7,1
0.3,2.8,3,4,2.4,266,9.4,51,90,43.4,20.1,0.796,30.9,1
0.7,3.2,3.8,6,4.5,332,13.5,41,86.6,51.6,30,1.362,12,0
1.2,10.8,11.8,9.4,9.2,305,18.6,13,61.8,27,26.7,0,17.7,0
1.7,14.4,16,8.4,8.2,86,14.3,14,80.8,48.3,32.2,0.052,90.6,0
3,11.9,15,6.3,5.8,90,12.1,22,81.4,55.9,41.6,1.033,46.7,0
0.1,3.3,3.5,5.8,3.9,303,15.4,46,99.2,42.8,14.5,1.003,17.7,1
0.9,3.2,4,10.1,9.4,267,25.4,21,59.7,29.6,31.8,1.149,17.8,0
0,0.8,0.8,3.8,1.8,126,14.3,59,96.3,44.9,17.4,1.242,20.1,1
0,4.2,4.2,4.8,4.4,86,8.6,23,80,54,40.6,0,25.9,0
2.3,8.1,10.5,7,6.6,315,12.2,18,71.3,60.7,69.2,0.256,19.9,0
0.8,7,7.8,4.9,3.4,273,12.6,44,81.8,42,24.7,1.438,22.3,1
0.3,3.3,3.6,4.6,3.9,114,9.9,30,100.9,29.8,8.4,0.084,33.2,1
0.5,5.9,6.4,4.7,2.3,210,10.3,57,78.8,38.5,23.8,1.402,15.4,1
0.2,1.7,1.9,5.5,2.1,190,13.8,64,94.5,38.4,14.3,1.479,30.8,1
-0.3,-0.2,-0.4,14.6,13.9,63,31.4,18,81.7,52.4,36.4,0,87.8,0
0.6,1,1.6,7.1,5.5,59,22.7,39,95.8,39.4,14.3,0.916,21,1
5.3,18,23.2,6.6,6.3,308,12.1,18,73.6,11,9.1,0.318,29.8,0
0.6,4.6,5.3,5.7,1.7,80,15.9,68,80.3,31.9,17.4,1.422,24.8,1
0.4,3.5,4,4.4,2.9,224,10.6,46,92.8,28.5,10.2,0.719,31.4,1
0,1.3,1.4,9.5,9.2,282,20.7,16,75.9,29.2,17.8,0,35.4,0
0.9,2.7,3.6,6.3,5.9,196,13.6,21,99.5,25.5,7.3,0.656,28.9,0
-0.3,2.8,2.7,4.5,1.9,101,11.8,62,86.4,38.3,18.4,1.413,16.4,1
-0.3,1,0.8,10.8,10.5,91,21,14,79.6,57.2,46.4,0,15.8,0
1.2,14.4,15.6,3.6,2.7,145,11.8,40,83.3,48,29.5,1.257,27.3,1
0.6,6.1,6.8,4.4,2.2,146,11.4,57,95.7,45.8,18.2,1.475,28.6,1
-0.1,-1.2,-1.2,5.2,4.4,87,11.8,31,99.6,32.8,9.8,0.717,15.4,1
7.2,32.2,39.5,3,2.9,124,5.4,15,92.1,44.2,19.2,0,72.4,0
0.1,12.8,13,5.1,4.9,108,9.4,13,73.6,39.3,28.9,0,32.3,0
0.1,3.5,1.5,5.9,4.9,147,13.5,34,86.1,51.5,30.5,1.541,20.6,1
1.4,10.3,11.7,8.3,8.1,91,18.5,12,80.6,48.3,32.2,0.075,55.8,0
0.4,8.6,9.2,4.7,4.6,126,8,14,78.5,56.9,47.4,0,30.9,0
0.4,3.1,3.6,4.8,3.4,284,13.4,44,91.1,49.9,24.6,0.525,9.6,0
-0.2,0.8,0.6,12.1,11.6,76,23.1,16,80.2,51.6,37.2,0,36.8,0
4.6,14.2,19,7.5,7.2,105,12.8,16,78.8,58.7,50.2,0.508,49.4,0
-0.1,-0.2,-0.2,4.4,3,102,13.8,46,99.2,36,11.2,1.028,21.5,1
0.8,6.1,7,6.7,5.8,322,16,31,84.8,34.3,17.4,1.438,14,1
0.2,1.7,1.9,7.6,6.3,243,18,33,94.8,3.2,3.3,1.046,18.8,0
1.1,4.9,6,7.2,6.2,313,15.7,30,86.9,12.8,6.4,1.451,23.9,0
0.4,1.3,1.8,3.9,1.7,180,9,61,93.7,34.6,12.6,1.518,19.8,1
0.4,1.5,1.8,1.7,1,165,9,53,90.6,43.5,19.8,1.387,39.8,1
1.3,12.6,13.7,4.4,3.4,99,9.7,38,79.2,23.8,12.8,0.902,39.6,1
18.5,26.2,44.9,2.5,2,273,5.5,35,69.7,59.1,69,0.341,33.7,0
0.3,8.2,8.4,8,7.8,298,14.9,13,82.4,55.1,39.1,0,17.5,0
0.1,2.5,2.7,8.8,8.2,276,19.8,21,93.2,48.6,21.9,0.172,23.2,0
0.7,5.5,6.3,5.4,4.5,108,11.9,34,85.3,56.9,38.5,1.243,36.9,0
0.4,-0.5,0,14.5,14,315,27.4,15,72.2,59.5,64.3,0,17.3,0
0.2,2.6,2.8,5.1,4,93,13.5,37,87.9,53.3,31.1,1.355,27,1
7.5,17.5,24.8,6.8,6.4,321,12.9,19,82.2,41.8,24.1,0.853,40.7,0
1.1,4.4,5.5,15.9,15,280,32.7,19,73,11.1,9.2,1.471,99.1,0
0.7,1.4,2.2,4.8,3.4,135,13.6,43,88.3,50.2,27.1,1.377,15.3,0
0.3,0.5,0.7,6.4,4.9,271,14,39,95.8,45.6,18,1.277,19.6,1
1.2,4.5,5.7,6.6,6.3,306,12.2,17,66.2,62.8,88.6,0,30.5,0
-0.2,3.6,3.6,4.7,2.7,266,13.3,53,92.7,43.4,18.4,1.182,16,1
0.3,1.8,2,6.3,4.1,313,16.9,48,91.5,41.8,17.9,1.144,10.9,0
4,12.4,16.3,6.6,6.5,299,11.5,12,75.6,15.1,9.9,0.689,58.1,0
0.1,2.8,2.9,5.5,4.3,111,12.4,38,95,46.1,19,1.537,22.1,1
0.3,1.5,1.7,3.2,1.3,57,7.4,62,66.5,63.1,89,0,23.7,0
0.5,5.3,5.8,6.6,5.6,116,13.1,32,82.7,47.6,29.5,1.215,35.3,0
0.5,-1.2,-0.6,7,5.1,250,16.5,42,87.3,51.3,29.2,1.334,9.3,0
0.3,1.8,2.1,6.1,3.6,90,15.1,51,79.6,10.6,7.2,0.98,18.5,1
0.1,2.1,2.2,5.7,4.6,102,13.3,36,92.2,39.3,16,0.577,26.8,1
3.5,24.6,27.9,3.8,3.7,302,8.4,16,71.9,21,15.9,0.001,28.4,0
0.5,7.6,8.1,4.9,3.2,102,11.3,47,77.3,23.7,13.9,1.179,30,1
0.3,3.6,3.9,2.9,0.1,131,7.5,79,79.9,16.2,9.1,0.28,23.6,1
0.1,6.8,7,4.8,2.8,220,12.9,52,93.3,47.2,20.8,0.967,30.1,1
0.4,3.4,3.8,14.6,13.4,87,27.6,23,92.4,47.4,21.6,1.311,52.9,0
0.4,3.2,3.6,4.9,4.3,275,11.7,28,84.9,50.1,30.2,1.136,20.5,1
0,3.2,3.3,4.7,1.8,136,11.5,64,93.2,41.7,17,0.94,14.4,1
-0.1,2.7,2.5,4.2,2.9,253,10.3,44,85.3,48.7,28.6,1.218,32.2,1
0.2,6.4,6.5,7.9,7.5,275,19.1,18,99.3,0.7,2.4,0.066,34.1,0
1.6,3.7,5.3,17.3,16.8,301,31.1,14,65.2,12.9,12.9,1.158,80.3,0
0.9,24.1,24.8,2,1.1,359,6.2,55,72.5,24.4,16.9,0,28.6,0
0.5,2.5,3,8.3,7.7,265,19.5,22,74.4,58.6,58.1,0.854,8.3,0
0.7,15,15.5,4.4,4.2,107,8.1,17,69,32.4,25.8,0,29.7,0
0.1,2.1,2.3,10.3,9.9,295,24.3,17,65.1,61.1,86.7,0,8.5,0
0.3,3.7,4.1,14.2,13.4,88,25.2,19,91.1,47.3,22.2,1.162,54.5,0
1.3,7.1,8.4,5.9,5.7,309,11.2,14,75.5,57.7,54.1,0.327,20.7,0
0.1,2.2,2.2,4,0.8,338,10.1,72,91.4,41.1,17.4,1.213,31.7,1
0.3,5.5,5.9,3.5,2.3,138,12.8,48,92.9,47.4,21.1,1.439,39.6,1
-0.2,0.7,0.5,4.8,3.5,222,11.8,41,102.4,33,9,1.031,20.8,1
0.6,5.6,6.1,7.6,7.3,289,15.3,14,63.7,37.5,38,0.047,17.5,0
0.5,7.3,7.8,3.3,0.8,117,11.1,70,86.6,43.9,23.1,1.527,16.9,1
0.1,1,1.1,5.8,4.2,277,13.8,43,90.8,47,22.4,1.454,18.7,1
-0.2,2.3,1.9,3.8,2,243,8.9,56,91.9,50.6,24.6,1.268,30.7,1
0,3.3,3.3,4.3,3.2,117,8.9,42,81.7,33,17.3,0.375,20.3,1
-0.2,2.3,2.2,14.3,13.7,95,26.9,17,93.6,46.7,20.2,0.625,45.3,0
0,0.8,0.8,5.9,4.2,274,13.7,44,88.3,52.5,29.3,1.483,13.7,0
0.4,3.6,3.9,8.9,8.1,275,21.7,23,94.4,46.6,19.5,0.505,17.9,0
-0.1,2.6,2.5,14.9,14.2,94,28.1,18,91.3,47,21.9,1.255,61.1,0
0.1,4.2,4.2,6.9,6,287,26.8,29,85,47.6,27.6,0.081,29.4,0
0,2.3,2.2,14.8,14.6,297,26.8,11,66.2,36.3,33.2,0,22.3,0
2.2,7.2,9.5,11.2,10.8,88,19,15,72.3,45.5,38.5,0.643,58,0
0.6,2.5,3.1,11.1,9.3,248,27.4,32,65.7,24.9,21.3,1.293,39.6,0
0.2,1.4,1.5,15.8,15.5,300,26.6,11,64.7,37.6,36.7,0,20.8,0
0.3,11.1,11.2,2.5,2.2,324,5.8,26,80,23.2,12,0.012,36.8,1
0.1,6.5,6.7,3.2,2,203,8.6,51,83.9,50.8,31.9,0.244,38.5,1
0.6,1.4,1.9,13.8,13.1,126,25.9,18,95.1,39.4,14.5,1.485,52.8,0
0.3,5.5,5.8,5.5,3,288,14.4,54,99.4,5.2,3.1,1.301,30.4,1
0.3,-0.2,0.1,6.9,5.1,271,16.9,41,97.6,40.8,14.3,1.159,17.6,1
0.1,3.4,3.5,5.1,1.5,98,13.4,68,98.9,39.1,12.9,1.292,25,1
0.1,2.1,2.2,6.8,6.1,125,16.6,26,69,58.6,69.9,0,8.3,0
0.5,3.2,3.8,4.2,1.5,224,9.8,65,90.4,31.1,12,1.115,37.3,1
2.5,9.5,12,4.5,3.8,276,11.3,31,68.9,62.3,80.1,0.454,23.3,0
1,6.3,7.2,12.1,11.6,92,24.7,16,55.8,32.6,41.3,0.133,29.7,0
0.7,2.9,3.6,10,9.4,290,22.9,19,78.3,56.7,48.3,1.053,10.4,0
0.3,4.9,5.2,6.2,5.5,259,13.9,28,94.7,0,2.8,0.311,19.6,0
